,hotel_name,price,reviews,rating,url,key
0,Hotel Estherea,268.0,4457.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d229151-Reviews-Hotel_Estherea-Amsterdam_North_Holland_Province.html,Amsterdam
1,Ambassade Hotel,260.0,1722.0,5.0,http://www.tripadvisor.com/Hotel_Review-g188590-d232321-Reviews-Ambassade_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
2,Lloyd Hotel,102.0,1975.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d503506-Reviews-Lloyd_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
3,HOTEL2STAY,138.0,1625.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d10622052-Reviews-HOTEL2STAY-Amsterdam_North_Holland_Province.html,Amsterdam
4,"Radisson Blu Hotel, Amsterdam",278.0,3907.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d230875-Reviews-Radisson_Blu_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
5,DoubleTree by Hilton Hotel Amsterdam Centraal Station,260.0,8151.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d1946024-Reviews-DoubleTree_by_Hilton_Hotel_Amsterdam_Centraal_Station-Amsterdam_North_Holland_Province.html,Amsterdam
6,WestCord Fashion Hotel Amsterdam,177.0,4803.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d1382766-Reviews-WestCord_Fashion_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
7,Kimpton De Witt Amsterdam,360.0,1284.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d229478-Reviews-Kimpton_De_Witt_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
8,Movenpick Hotel Amsterdam City Centre,205.0,7034.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d601686-Reviews-Movenpick_Hotel_Amsterdam_City_Centre-Amsterdam_North_Holland_Province.html,Amsterdam
9,Hotel Sebastian's,238.0,1704.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d1973876-Reviews-Hotel_Sebastian_s-Amsterdam_North_Holland_Province.html,Amsterdam
10,INK Hotel Amsterdam - MGallery by Sofitel,360.0,2533.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d230120-Reviews-INK_Hotel_Amsterdam_MGallery_by_Sofitel-Amsterdam_North_Holland_Province.html,Amsterdam
11,Ramada Apollo Amsterdam Centre,170.0,3802.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d2151608-Reviews-Ramada_Apollo_Amsterdam_Centre-Amsterdam_North_Holland_Province.html,Amsterdam
12,Hotel Luxer,170.0,1213.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d296606-Reviews-Hotel_Luxer-Amsterdam_North_Holland_Province.html,Amsterdam
13,NH Collection Amsterdam Grand Hotel Krasnapolsky,289.0,2885.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d229182-Reviews-NH_Collection_Amsterdam_Grand_Hotel_Krasnapolsky-Amsterdam_North_Holland_Province.html,Amsterdam
14,The Toren,351.0,3011.0,5.0,http://www.tripadvisor.com/Hotel_Review-g188590-d229137-Reviews-The_Toren-Amsterdam_North_Holland_Province.html,Amsterdam
15,Hotel Arena,169.0,1036.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d249326-Reviews-Hotel_Arena-Amsterdam_North_Holland_Province.html,Amsterdam
16,NH City Centre Amsterdam,272.0,1709.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d194317-Reviews-NH_City_Centre_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
17,Mercure Hotel Amsterdam City,159.0,2509.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d230114-Reviews-Mercure_Hotel_Amsterdam_City-Amsterdam_North_Holland_Province.html,Amsterdam
18,Hampton by Hilton Amsterdam / Arena Boulevard,165.0,2264.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d4162237-Reviews-Hampton_by_Hilton_Amsterdam_Arena_Boulevard-Amsterdam_North_Holland_Province.html,Amsterdam
19,Hotel Casa,181.0,3377.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d232326-Reviews-Hotel_Casa-Amsterdam_North_Holland_Province.html,Amsterdam
20,The Student Hotel Amsterdam City,246.0,2983.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d8142970-Reviews-The_Student_Hotel_Amsterdam_City-Amsterdam_North_Holland_Province.html,Amsterdam
21,NH Amsterdam Museum Quarter,262.0,2228.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d472078-Reviews-NH_Amsterdam_Museum_Quarter-Amsterdam_North_Holland_Province.html,Amsterdam
22,Hotel De Hallen,263.0,1130.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d5971630-Reviews-Hotel_De_Hallen-Amsterdam_North_Holland_Province.html,Amsterdam
23,Mercure Amsterdam Sloterdijk Station,154.0,1360.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d7855996-Reviews-Mercure_Amsterdam_Sloterdijk_Station-Amsterdam_North_Holland_Province.html,Amsterdam
24,Pulitzer Amsterdam,407.0,1315.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d189387-Reviews-Pulitzer_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
30,Hotel Nadia,198.0,4299.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d232493-Reviews-Hotel_Nadia-Amsterdam_North_Holland_Province.html,Amsterdam
31,Hotel Notting Hill,185.0,1159.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d2064717-Reviews-Hotel_Notting_Hill-Amsterdam_North_Holland_Province.html,Amsterdam
32,QO Amsterdam,227.0,604.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d10637522-Reviews-QO_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
33,Jaz Amsterdam,124.0,942.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d8095316-Reviews-Jaz_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
34,Volkshotel,164.0,1794.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d6599284-Reviews-Volkshotel-Amsterdam_North_Holland_Province.html,Amsterdam
35,Flying Pig Uptown,128.0,944.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d236050-Reviews-Flying_Pig_Uptown-Amsterdam_North_Holland_Province.html,Amsterdam
36,Bilderberg Hotel Jan Luyken,295.0,1231.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d229144-Reviews-Bilderberg_Hotel_Jan_Luyken-Amsterdam_North_Holland_Province.html,Amsterdam
37,Element Amsterdam,159.0,1021.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d8694862-Reviews-Element_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
38,Hotel Jakarta Amsterdam,249.0,415.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d13965515-Reviews-Hotel_Jakarta_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
