booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Room service",Hotel Estherea,amsterdam,14,$268,4457 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d229151-Reviews-Hotel_Estherea-Amsterdam_North_Holland_Province.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Ambassade Hotel,amsterdam,10,$260,1722 ,5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d232321-Reviews-Ambassade_Hotel-Amsterdam_North_Holland_Province.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Lloyd Hotel,amsterdam,12,$102,1975 ,4 ,http://www.tripadvisor.com/Hotel_Review-g188590-d503506-Reviews-Lloyd_Hotel-Amsterdam_North_Holland_Province.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Fitness center",HOTEL2STAY,amsterdam,13,$138,1625 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d10622052-Reviews-HOTEL2STAY-Amsterdam_North_Holland_Province.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website","Radisson Blu Hotel, Amsterdam",amsterdam,16,$278,3907 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d230875-Reviews-Radisson_Blu_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html
Doubletree,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",DoubleTree by Hilton Hotel Amsterdam Centraal Station,amsterdam,17,$260,8151 ,4 ,http://www.tripadvisor.com/Hotel_Review-g188590-d1946024-Reviews-DoubleTree_by_Hilton_Hotel_Amsterdam_Centraal_Station-Amsterdam_North_Holland_Province.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Pool",WestCord Fashion Hotel Amsterdam,amsterdam,15,$177,4803 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d1382766-Reviews-WestCord_Fashion_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Kimpton De Witt Amsterdam,amsterdam,12,$360,1284 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d229478-Reviews-Kimpton_De_Witt_Amsterdam-Amsterdam_North_Holland_Province.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Movenpick Hotel Amsterdam City Centre,amsterdam,16,$205,7034 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d601686-Reviews-Movenpick_Hotel_Amsterdam_City_Centre-Amsterdam_North_Holland_Province.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge",Hotel Sebastian's,amsterdam,9,$238,1704 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d1973876-Reviews-Hotel_Sebastian_s-Amsterdam_North_Holland_Province.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",INK Hotel Amsterdam - MGallery by Sofitel,amsterdam,13,$360,2533 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d230120-Reviews-INK_Hotel_Amsterdam_MGallery_by_Sofitel-Amsterdam_North_Holland_Province.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Ramada Apollo Amsterdam Centre,amsterdam,20,$170,3802 ,4 ,http://www.tripadvisor.com/Hotel_Review-g188590-d2151608-Reviews-Ramada_Apollo_Amsterdam_Centre-Amsterdam_North_Holland_Province.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge",Hotel Luxer,amsterdam,10,$170,1213 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d296606-Reviews-Hotel_Luxer-Amsterdam_North_Holland_Province.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",NH Collection Amsterdam Grand Hotel Krasnapolsky,amsterdam,17,$289,2885 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d229182-Reviews-NH_Collection_Amsterdam_Grand_Hotel_Krasnapolsky-Amsterdam_North_Holland_Province.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",The Toren,amsterdam,9,$351,3011 ,5 ,http://www.tripadvisor.com/Hotel_Review-g188590-d229137-Reviews-The_Toren-Amsterdam_North_Holland_Province.html
