booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Trip.com,2019/03/29,2019/03/30,"Free Wifi,Pool",Beijing Pudi Hotel,beijing,11,$112,2162 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d1166502-Reviews-Beijing_Pudi_Hotel-Beijing.html
Hilton,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Hilton Beijing Capital Airport,beijing,13,$223,1775 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d1469049-Reviews-Hilton_Beijing_Capital_Airport-Beijing.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",Sofu Hotel,beijing,11,$115,195 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d6531136-Reviews-Sofu_Hotel-Beijing.html
Trip.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Renaissance Beijing Wangfujing Hotel,beijing,13,$163,1649 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d7098769-Reviews-Renaissance_Beijing_Wangfujing_Hotel-Beijing.html
Hostelworld.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",365 Inn (Beijing Qianmen),beijing,11,$28,275 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d1158584-Reviews-365_Inn_Beijing_Qianmen-Beijing.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website","Cordis, Beijing Capital Airport by Langham Hospitality Group",beijing,12,$327,1124 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d1776446-Reviews-Cordis_Beijing_Capital_Airport_by_Langham_Hospitality_Group-Beijing.html
Agoda.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",New World Beijing Hotel,beijing,13,$144,2029 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d4567347-Reviews-New_World_Beijing_Hotel-Beijing.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Park Plaza Wangfujing,beijing,15,$164,3195 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d595677-Reviews-Park_Plaza_Wangfujing-Beijing.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included","VUE Hotel Hou Hai, Beijing",beijing,7,$142,306 ,5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d651034-Reviews-VUE_Hotel_Hou_Hai_Beijing-Beijing.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website","Shangri-La Hotel, Beijing",beijing,13,$150,4609 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d302137-Reviews-Shangri_La_Hotel_Beijing-Beijing.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Michael's House,beijing,12,$84,613 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d1201658-Reviews-Michael_s_House-Beijing.html
Trip.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Double Happiness Beijing Courtyard Hotel,beijing,11,$387,2003 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d813642-Reviews-Double_Happiness_Beijing_Courtyard_Hotel-Beijing.html
