booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Serene Vegas,las vegas,15,$86,67 ,2.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91939-Reviews-Serene_Vegas-Las_Vegas_Nevada.html
Hotwire.com,2019/03/29,2019/03/30,"Free parking,Pool",Tuscany Suites & Casino,las vegas,15,$139,4431 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d224853-Reviews-Tuscany_Suites_Casino-Las_Vegas_Nevada.html
Bellagio Las Vegas,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Bellagio Las Vegas,las vegas,19,$229,18403 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91703-Reviews-Bellagio_Las_Vegas-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free parking,Pool,Visit hotel website",The Venetian Resort Las Vegas,las vegas,14,$199,28636 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d97704-Reviews-The_Venetian_Resort_Las_Vegas-Las_Vegas_Nevada.html
Paris Las Vegas,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Paris Las Vegas Hotel & Casino,las vegas,16,$199,30831 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d143336-Reviews-Paris_Las_Vegas_Hotel_Casino-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Planet Hollywood Resort & Casino,las vegas,17,$179,26371 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91687-Reviews-Planet_Hollywood_Resort_Casino-Las_Vegas_Nevada.html
TrumpHotels.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Trump International Hotel Las Vegas,las vegas,15,$207,12815 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d1022061-Reviews-Trump_International_Hotel_Las_Vegas-Las_Vegas_Nevada.html
Caesars Palace,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Caesars Palace,las vegas,17,$189,19165 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91762-Reviews-Caesars_Palace-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Bally's Las Vegas Hotel & Casino,las vegas,17,$151,23017 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d121312-Reviews-Bally_s_Las_Vegas_Hotel_Casino-Las_Vegas_Nevada.html
ARIA,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",ARIA Resort & Casino,las vegas,21,$199,28606 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91925-Reviews-ARIA_Resort_Casino-Las_Vegas_Nevada.html
The Signature,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Signature at MGM Grand,las vegas,16,$215,14301 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d601419-Reviews-Signature_at_MGM_Grand-Las_Vegas_Nevada.html
Vdara Hotel & Spa,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Vdara Hotel & Spa at ARIA Las Vegas,las vegas,15,$249,18496 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d1474086-Reviews-Vdara_Hotel_Spa_at_ARIA_Las_Vegas-Las_Vegas_Nevada.html
Cosmopolitan Hotel,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website","The Cosmopolitan of Las Vegas, Autograph Collection",las vegas,15,$350,9224 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d1829539-Reviews-The_Cosmopolitan_of_Las_Vegas_Autograph_Collection-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free parking,Pool",South Point Hotel Casino and Spa,las vegas,12,$149,5962 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d570084-Reviews-South_Point_Hotel_Casino_and_Spa-Las_Vegas_Nevada.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Silverton Hotel and Casino,las vegas,14,$139,2261 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d97691-Reviews-Silverton_Hotel_and_Casino-Las_Vegas_Nevada.html
Official Site,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Wynn Las Vegas,las vegas,18,$322,24235 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d503598-Reviews-Wynn_Las_Vegas-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Marriott's Grand Chateau,las vegas,9,$219,3978 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d567617-Reviews-Marriott_s_Grand_Chateau-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Hilton Grand Vacations on the Boulevard,las vegas,16,$160,5857 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d277720-Reviews-Hilton_Grand_Vacations_on_the_Boulevard-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free parking,Pool,Visit hotel website",The Palazzo at The Venetian,las vegas,13,$239,17334 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d675000-Reviews-The_Palazzo_at_The_Venetian-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Red Rock Casino Resort & Spa,las vegas,15,$320,4528 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d596543-Reviews-Red_Rock_Casino_Resort_Spa-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",La Quinta Inn & Suites Las Vegas Airport South,las vegas,12,$143,2122 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d1761659-Reviews-La_Quinta_Inn_Suites_Las_Vegas_Airport_South-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Tahiti Village,las vegas,9,$314,3414 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d628433-Reviews-Tahiti_Village-Las_Vegas_Nevada.html
Hotwire.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Polo Towers Suites,las vegas,16,$169,3010 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91916-Reviews-Polo_Towers_Suites-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Room service,Visit hotel website",Four Seasons Hotel Las Vegas,las vegas,17,,5003 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91674-Reviews-Four_Seasons_Hotel_Las_Vegas-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free parking,Pool",Sam's Town Hotel & Gambling Hall,las vegas,18,$106,2059 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91675-Reviews-Sam_s_Town_Hotel_Gambling_Hall-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Suncoast Hotel and Casino,las vegas,15,$190,1161 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d121307-Reviews-Suncoast_Hotel_and_Casino-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Hampton Inn Tropicana,las vegas,16,,2739 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d121328-Reviews-Hampton_Inn_Tropicana-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Hilton Grand Vacations on Paradise (Convention Center),las vegas,15,,2413 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d234836-Reviews-Hilton_Grand_Vacations_on_Paradise_Convention_Center-Las_Vegas_Nevada.html
VEGAS.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",The Cromwell Hotel Las Vegas,las vegas,16,$810,5090 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d6537691-Reviews-The_Cromwell_Hotel_Las_Vegas-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Hampton Inn & Suites Las Vegas Airport,las vegas,14,$164,1674 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d1116376-Reviews-Hampton_Inn_Suites_Las_Vegas_Airport-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Encore At Wynn Las Vegas,las vegas,19,$269,16812 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d1123368-Reviews-Encore_At_Wynn_Las_Vegas-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Serene Vegas,las vegas,15,$86,67 ,2.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91939-Reviews-Serene_Vegas-Las_Vegas_Nevada.html
JW Marriott,2019/03/29,2019/03/30,"Free parking,Restaurant,Visit hotel website",JW Marriott Las Vegas Resort & Spa,las vegas,16,$209,2242 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d124741-Reviews-JW_Marriott_Las_Vegas_Resort_Spa-Las_Vegas_Nevada.html
