booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Restaurant",Hotel Angeleno,los angeles,18,$173,1992 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d84522-Reviews-Hotel_Angeleno-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Pool,Restaurant,Room service",Sheraton Gateway Los Angeles Hotel,los angeles,16,$169,1245 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d78046-Reviews-Sheraton_Gateway_Los_Angeles_Hotel-Los_Angeles_California.html
Orbitz.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Restaurant,Room service",Hyatt Regency Los Angeles International Airport,los angeles,16,$209,1011 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d223049-Reviews-Hyatt_Regency_Los_Angeles_International_Airport-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Restaurant",Loews Hollywood Hotel,los angeles,17,$289,4423 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d224168-Reviews-Loews_Hollywood_Hotel-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Restaurant",Freehand Los Angeles,los angeles,12,$170,244 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d11894770-Reviews-Freehand_Los_Angeles-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Beachfront,Pool",Shore Hotel,los angeles,17,$409,3396 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g33052-d2257239-Reviews-Shore_Hotel-Santa_Monica_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Regency Inn Los Angeles,los angeles,10,$135,204 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d1783764-Reviews-Regency_Inn_Los_Angeles-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Restaurant",The Hollywood Roosevelt,los angeles,16,$359,2630 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d77274-Reviews-The_Hollywood_Roosevelt-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Beachfront",Ocean View Hotel,los angeles,12,$279,818 ,4 ,http://www.tripadvisor.com/Hotel_Review-g33052-d81236-Reviews-Ocean_View_Hotel-Santa_Monica_California.html
Orbitz.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Breakfast included,Pool",Hollywood Hotel,los angeles,15,$206,3064 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d77237-Reviews-Hollywood_Hotel-Los_Angeles_California.html
Orbitz.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Restaurant",The LINE LA,los angeles,14,$219,1283 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d77852-Reviews-The_LINE_LA-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Breakfast included,Pool",Embassy Suites by Hilton LAX North,los angeles,13,$149,1337 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d77917-Reviews-Embassy_Suites_by_Hilton_LAX_North-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Pool,Restaurant,Room service",Hilton Los Angeles/Universal City,los angeles,14,$304,4600 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d78694-Reviews-Hilton_Los_Angeles_Universal_City-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Hollywood Celebrity Hotel,los angeles,13,$179,2333 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d84505-Reviews-Hollywood_Celebrity_Hotel-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Fitness center",Gateway Hotel Santa Monica,los angeles,13,$209,1391 ,4 ,http://www.tripadvisor.com/Hotel_Review-g33052-d81245-Reviews-Gateway_Hotel_Santa_Monica-Santa_Monica_California.html
Booking.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Breakfast included,Pool",Homewood Suites by Hilton Los Angeles International Airport,los angeles,12,$189,275 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d12631366-Reviews-Homewood_Suites_by_Hilton_Los_Angeles_International_Airport-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Restaurant",The Garland,los angeles,16,$215,3613 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d78682-Reviews-The_Garland-Los_Angeles_California.html
Hotwire.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Restaurant",Kimpton Everly Hotel,los angeles,14,$309,427 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d12227029-Reviews-Kimpton_Everly_Hotel-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Restaurant",Hotel Figueroa,los angeles,14,$249,250 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d124956-Reviews-Hotel_Figueroa-Los_Angeles_California.html
InterContinental,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Restaurant",InterContinental Los Angeles Downtown,los angeles,17,$269,626 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d8678267-Reviews-InterContinental_Los_Angeles_Downtown-Los_Angeles_California.html
Curio.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Restaurant","H Hotel Los Angeles, Curio Collection by Hilton",los angeles,10,$179,427 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d12862190-Reviews-H_Hotel_Los_Angeles_Curio_Collection_by_Hilton-Los_Angeles_California.html
BestWestern.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Breakfast included,Pool",Best Western Plus Sunset Plaza Hotel,los angeles,16,$229,2324 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g33252-d81649-Reviews-Best_Western_Plus_Sunset_Plaza_Hotel-West_Hollywood_California.html
Booking.com,2019/03/29,2019/03/30,"Visit hotel website,Restaurant,Room service,Bar/Lounge",Sheraton Grand Los Angeles,los angeles,16,$229,1155 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d77798-Reviews-Sheraton_Grand_Los_Angeles-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Restaurant",Viceroy Santa Monica,los angeles,17,$336,1930 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g33052-d267646-Reviews-Viceroy_Santa_Monica-Santa_Monica_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Bar/Lounge",BLVD Hotel & Suites,los angeles,12,$209,748 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d235430-Reviews-BLVD_Hotel_Suites-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Breakfast included,Restaurant",Hotel Normandie,los angeles,15,$199,845 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d1632207-Reviews-Hotel_Normandie-Los_Angeles_California.html
Orbitz.com,2019/03/29,2019/03/30,"Visit hotel website,Pool,Restaurant,Room service",Montrose West Hollywood,los angeles,14,$279,121 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g33252-d82586-Reviews-Montrose_West_Hollywood-West_Hollywood_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Beachfront",Loews Santa Monica Beach Hotel,los angeles,13,$580,2993 ,4 ,http://www.tripadvisor.com/Hotel_Review-g33052-d219486-Reviews-Loews_Santa_Monica_Beach_Hotel-Santa_Monica_California.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Breakfast included,Pool",Residence Inn by Marriott Los Angeles LAX,los angeles,12,$149,972 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d7389126-Reviews-Residence_Inn_by_Marriott_Los_Angeles_LAX-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Beachfront",Sea Blue Hotel,los angeles,11,$249,1246 ,4 ,http://www.tripadvisor.com/Hotel_Review-g33052-d82076-Reviews-Sea_Blue_Hotel-Santa_Monica_California.html
Official Hotel,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Bar/Lounge",BLVD Hotel & Spa,los angeles,9,$209,653 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d2072559-Reviews-BLVD_Hotel_Spa-Los_Angeles_California.html
Official Website,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Hotel Angeleno,los angeles,18,$169,1992 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d84522-Reviews-Hotel_Angeleno-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Beachfront,Visit hotel website",Hotel Erwin,los angeles,15,$332,1670 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d81170-Reviews-Hotel_Erwin-Los_Angeles_California.html
