booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Heritage Madrid Hotel,madrid,11,$228,121 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d12828930-Reviews-Heritage_Madrid_Hotel-Madrid.html
Hilton,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Hilton Madrid Airport,madrid,19,$137,3596 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d649828-Reviews-Hilton_Madrid_Airport-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",B&B Hotel Madrid Fuencarral 52,madrid,7,$186,1163 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d7316393-Reviews-B_B_Hotel_Madrid_Fuencarral_52-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Ibis Madrid Calle Alcala,madrid,15,,1103 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d653686-Reviews-Ibis_Madrid_Calle_Alcala-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Ibis Madrid Aeropuerto Barajas,madrid,15,,2916 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d620357-Reviews-Ibis_Madrid_Aeropuerto_Barajas-Madrid.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Hotel Francisco I,madrid,16,$112,2064 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d238637-Reviews-Hotel_Francisco_I-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Room service,Visit hotel website",Artiem Madrid,madrid,15,$110,772 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d231633-Reviews-Artiem_Madrid-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Barcelo Torre de Madrid,madrid,14,$225,1183 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d10847573-Reviews-Barcelo_Torre_de_Madrid-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Pool",Hotel Nuevo Boston,madrid,16,$84,2645 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d1216895-Reviews-Hotel_Nuevo_Boston-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",Hotel Europa,madrid,11,$190,3298 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d266529-Reviews-Hotel_Europa-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Clement Barajas Hotel,madrid,14,,1073 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d571096-Reviews-Clement_Barajas_Hotel-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Pool",Maydrit Hotel,madrid,15,$83,1734 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d1153301-Reviews-Maydrit_Hotel-Madrid.html
Hotels.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",Hotel Preciados,madrid,14,,4432 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d232819-Reviews-Hotel_Preciados-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Novotel Madrid Center,madrid,16,$120,2100 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d501066-Reviews-Novotel_Madrid_Center-Madrid.html
