booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
InterContinental,2019/03/29,2019/03/30,Visit hotel website,InterContinental Sydney Double Bay,sydney,14,$416,642 ,4 ,http://www.tripadvisor.com/Hotel_Review-g552126-d6827689-Reviews-InterContinental_Sydney_Double_Bay-Woollahra_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Visit hotel website,Meriton Suites Zetland,sydney,6,$101,4143 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d3514899-Reviews-Meriton_Suites_Zetland-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,,The Grace Hotel Sydney,sydney,16,$166,7310 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d257296-Reviews-The_Grace_Hotel_Sydney-Sydney_New_South_Wales.html
Hotwire.com,2019/03/29,2019/03/30,Visit hotel website,Four Seasons Hotel Sydney,sydney,16,$238,7287 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256544-Reviews-Four_Seasons_Hotel_Sydney-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Visit hotel website,Cambridge Hotel Sydney,sydney,14,$115,5307 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d255423-Reviews-Cambridge_Hotel_Sydney-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Visit hotel website,"Meriton Suites Kent Street, Sydney",sydney,6,$120,7142 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d629301-Reviews-Meriton_Suites_Kent_Street_Sydney-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Visit hotel website,Meriton Suites Campbell Street Sydney,sydney,5,$135,1043 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d2183915-Reviews-Meriton_Suites_Campbell_Street_Sydney-Sydney_New_South_Wales.html
Hilton,2019/03/29,2019/03/30,Visit hotel website,Hilton Sydney,sydney,16,$219,5184 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d255650-Reviews-Hilton_Sydney-Sydney_New_South_Wales.html
Orbitz.com,2019/03/29,2019/03/30,Visit hotel website,Swissotel Sydney,sydney,16,$160,2781 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256595-Reviews-Swissotel_Sydney-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Visit hotel website,Radisson Blu Plaza Hotel Sydney,sydney,15,$152,5645 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256629-Reviews-Radisson_Blu_Plaza_Hotel_Sydney-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Visit hotel website,InterContinental Sydney,sydney,14,$186,5239 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256570-Reviews-InterContinental_Sydney-Sydney_New_South_Wales.html
Orbitz.com,2019/03/29,2019/03/30,Visit hotel website,Sydney Harbour Marriott Hotel at Circular Quay,sydney,14,$212,2045 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d255674-Reviews-Sydney_Harbour_Marriott_Hotel_at_Circular_Quay-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Visit hotel website,Ovolo 1888 Darling Harbour,sydney,13,$150,2619 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d3795038-Reviews-Ovolo_1888_Darling_Harbour-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,Visit hotel website,Ovolo Woolloomooloo,sydney,14,$249,1929 ,5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d257469-Reviews-Ovolo_Woolloomooloo-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Visit hotel website,"Meriton Suites Pitt Street, Sydney",sydney,6,$159,932 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d489097-Reviews-Meriton_Suites_Pitt_Street_Sydney-Sydney_New_South_Wales.html
Orbitz.com,2019/03/29,2019/03/30,Visit hotel website,QT Sydney,sydney,13,$280,2441 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d2641285-Reviews-QT_Sydney-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,,Hyde Park Inn,sydney,8,$124,1170 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256565-Reviews-Hyde_Park_Inn-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Visit hotel website,Sheraton Grand Sydney Hyde Park,sydney,16,$192,5130 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256637-Reviews-Sheraton_Grand_Sydney_Hyde_Park-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,,The Ultimo,sydney,17,$115,755 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d257280-Reviews-The_Ultimo-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,,Novotel Sydney on Darling Harbour,sydney,16,$160,5110 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
Orbitz.com,2019/03/29,2019/03/30,Visit hotel website,The Westin Sydney,sydney,17,$219,3719 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256659-Reviews-The_Westin_Sydney-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,,Mercure Sydney,sydney,15,$115,5384 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256598-Reviews-Mercure_Sydney-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,,28 Hotel,sydney,12,$80,436 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d12129942-Reviews-28_Hotel-Sydney_New_South_Wales.html
Hotwire.com,2019/03/29,2019/03/30,Visit hotel website,Sir Stamford at Circular Quay Hotel Sydney,sydney,15,$159,4016 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256639-Reviews-Sir_Stamford_at_Circular_Quay_Hotel_Sydney-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,,The Russell Boutique Hotel,sydney,13,$128,1106 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d258459-Reviews-The_Russell_Boutique_Hotel-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Visit hotel website,Meriton Suites Waterloo,sydney,7,$107,590 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d572865-Reviews-Meriton_Suites_Waterloo-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,,The Urban Newtown,sydney,12,$77,583 ,4 ,http://www.tripadvisor.com/Hotel_Review-g8572746-d7103854-Reviews-The_Urban_Newtown-Newtown_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,,Veriu Broadway,sydney,11,$128,405 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d12318566-Reviews-Veriu_Broadway-Sydney_New_South_Wales.html
